Ariana Savalas - One Man Show,103,Jazzy melodic
Lisa Fuller - New Coat Of Paint,88,Long intro
Christian Rannenberg - Early Morning Blues,55,Piano intro
Christian Willisohn - Blues In My Bottle,46,
Dirty Blues,84,Funny good accents
Fire On The Floor,55,
New Year Blues,73,
Debbie Davies - A Darker Side Of Me,108,Slow lindy
Oscar Peterson & Count Basie - Slow Blues,80,
Mean Blues,60,
What Kind Of Woman Is This?,90,
This Little Bird,56,
Ball And Chain,56,
Bumble Bee,86,
Unlucky Girl,105,Strong intro a lot of breaks
Get These Blues Off Me,70,
I Got the Blues,75,
The Sun Went Down,68,
My Baby Is Now On My Mind,100,
Vida Lee,67,
Strugglin' Blues,67,
Jim Suhler & Monkey Beat - Sure As The Sun Rises,56,
Blues Man,65,
Slow Walk (Slow Burn),74,
Worry Worry Worry,67,
Sweet Home Chicago,110,
Going Down Slow,60,
I Don't Know,65,
Troubles Troubles Troubles,73,
Got To Move (Mono Version),63,
Decoration Day (Stereo Version),67,
So Long,73,
Call It Stormy Monday (But Tuesday Is Just As Bad),69,
